PNL Durations: NeuronLayer: 0.92ms | WindowMeans: 0.15ms | WindowWeighting: 31.76ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.32ms | WindowMeans: 0.16ms | WindowWeighting: 30.82ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.92ms | WindowMeans: 0.14ms | WindowWeighting: 31.22ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 0.91ms | WindowMeans: 0.16ms | WindowWeighting: 31.09ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.22ms | WindowMeans: 0.16ms | WindowWeighting: 31.55ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.48ms | WindowMeans: 0.37ms | WindowWeighting: 33.83ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.95ms | WindowMeans: 0.16ms | WindowWeighting: 33.72ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 0.95ms | WindowMeans: 0.20ms | WindowWeighting: 32.03ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.09ms | WindowMeans: 0.15ms | WindowWeighting: 32.39ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.20ms | WindowMeans: 0.23ms | WindowWeighting: 33.90ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.00ms | WindowMeans: 0.18ms | WindowWeighting: 32.01ms | CombineLayer: 0.10ms
PNL Durations: NeuronLayer: 1.40ms | WindowMeans: 0.23ms | WindowWeighting: 33.69ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.37ms | WindowMeans: 0.26ms | WindowWeighting: 34.38ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.18ms | WindowMeans: 0.45ms | WindowWeighting: 91.99ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 2.11ms | WindowMeans: 0.29ms | WindowWeighting: 37.69ms | CombineLayer: 0.11ms
PNL Durations: NeuronLayer: 1.26ms | WindowMeans: 0.17ms | WindowWeighting: 32.79ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.14ms | WindowMeans: 0.17ms | WindowWeighting: 32.40ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.15ms | WindowMeans: 0.36ms | WindowWeighting: 42.50ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.72ms | WindowMeans: 0.26ms | WindowWeighting: 41.14ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.31ms | WindowMeans: 0.44ms | WindowWeighting: 40.07ms | CombineLayer: 0.05ms
PNL Durations: NeuronLayer: 1.21ms | WindowMeans: 0.35ms | WindowWeighting: 33.70ms | CombineLayer: 0.07ms
PNL Durations: NeuronLayer: 1.13ms | WindowMeans: 0.30ms | WindowWeighting: 33.77ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.32ms | WindowMeans: 0.20ms | WindowWeighting: 31.78ms | CombineLayer: 0.06ms
PNL Durations: NeuronLayer: 1.01ms | WindowMeans: 0.20ms | WindowWeighting: 31.39ms | CombineLayer: 0.05ms
